complaint_number,request_date,complaint_date,complaint_channel,complainer_kind,complainer_name,complaint_topic,complaint_against,original_request_topic,status,decision,termination_date,days_to_treat
 631/21,25/10/2021,23/12/2021,online form,citizen,,failure to respond,רשות מקרקעי ישראל,"מסמכי הפרויקט הידוע כמנהטן 15 "" בנתיבות""",termination of treatment,justified partially,07/02/2022,46
 71/24,31/01/2024,04/03/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,מידע-מס' בקשות שלא נענו בצורה תקינה,termination of treatment,unjustified,13/03/2024,9
 49/23,15/11/2022,09/02/2023,online form,non-profit organization,האגודה לזכויות האזרח,failure to respond,שירות בתי הסוהר,אסירי עולם,termination of treatment,justified,29/03/2023,48
 23/22,20/10/2021,19/01/2022,online form,citizen,,failure to respond,משרד הבריאות,"רשיונות ללא מגע""""",termination of treatment,justified,26/05/2022,127
 49/22,02/01/2022,08/02/2022,online form,citizen,,failure to respond,משרד הבריאות,מידע בנושאים שונים בנושא קורונה,termination of treatment,justified,26/05/2022,107
 388/24,05/07/2023,09/11/2024,online form,citizen,,failure to respond,משרד הבריאות,תרופות מתחדשות,undergoing treatment,,,19
 82/22,14/09/2021,01/03/2022,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,מתן מידע לפי חוק חופש המידע,termination of treatment,justified,16/03/2022,15
 67/22,19/12/2021,20/02/2022,online form,other,,failure to respond,משרד הבריאות,העברת מסמכים ,termination of treatment,justified,26/05/2022,95
1/23,01/09/2022,01/01/2023,online form,citizen,,failure to respond,"צהל""",מתן מענה לא ענייני וחלקי ביותר,termination of treatment,justified,10/08/2023,221
 20/23,13/11/2022,15/01/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,משרד התחבורה והבטיחות בדרכים,ערעור טובין בייבוא אישי,termination of treatment,justified,31/05/2023,136
 111/24,14/11/2023,09/04/2024,online form,non-profit organization,המרכז להעצמת האזרח,failure to respond,משרד הבריאות,יישום חוק חובת דיווח,termination of treatment,justified,06/06/2024,58
 73/23,22/02/2023,28/02/2023,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,אי קבלת מענה,termination of treatment,unjustified,01/03/2023,1
 387/22,31/07/2022,20/09/2022,online form,company,,failure to respond,משרד העבודה,פיגומים ממוכנים,termination of treatment,justified,04/05/2023,226
 258/24,28/05/2024,15/07/2024,online form,citizen,,failure to respond,משרד החינוך,תיעוד מגן אסיף,termination of treatment,justified,23/07/2024,8
 112/24,14/11/2023,09/04/2024,online form,non-profit organization,המרכז להעצמת האזרח,failure to respond,משרד החינוך,יישום חוק חובת דיווח,termination of treatment,justified,02/05/2024,23
 53/23,09/01/2023,14/02/2023,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,failure to respond ממשרד התחבורה,termination of treatment,justified,05/03/2023,20
 479/23,02/10/2023,18/11/2023,online form,other,,failure to respond,הרשות הארצית לכבאות והצלה,אי קבלת מענה ומענה משתלח מצד הגורם ברשות,termination of treatment,unjustified,23/11/2023,5
 50/22,09/08/2021,10/02/2022,online form,citizen,,failure to respond,המשרד להגנת הסביבה,מיחזור צמיגים,termination of treatment,justified,26/05/2022,105
 15/24,19/10/2023,11/01/2024,online form,non-profit organization,"מרכז רקמן, אוניברסיטת בר אילן",failure to respond,שירות בתי הסוהר,מידע סטטיסטי לשנתון,termination of treatment,justified,13/03/2024,62
 327/22,04/07/2022,05/08/2022,online form,citizen,,failure to respond,הנהלת בתי המשפט,עדכון מניעויות רשמים,termination of treatment,justified partially,07/08/2022,2
 69/24,01/01/2024,26/02/2024,online form,non-profit organization,האגודה לזכויות האזרח,failure to respond,שירות בתי הסוהר,לוחות המזון לעצורים ולאסירים ביטחוניים,termination of treatment,justified,18/04/2024,52
 355/22,14/06/2022,22/08/2022,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,תחומי otherיות כפר יונה,termination of treatment,justified,18/12/2022,118
 196/22,08/01/2022,08/05/2022,online form,citizen,,failure to respond,משרד הבריאות,פירוט חלוקת תמיכות,termination of treatment,justified,01/08/2022,86
 398/24,17/09/2024,17/11/2024,online form,citizen,,failure to respond,"מתאם פעולות הממשלה בשטחים (מתפש)""",מעברים לרצועת עזה,termination of treatment,unjustified,21/11/2024,4
 212/24,15/05/2024,20/06/2024,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,משטרת ישראל,"תיקי פלא נוער בהפגנות""",termination of treatment,unjustified,01/07/2024,11
 93/24,08/11/2023,14/03/2024,online form,citizen,,failure to respond,משרד המשפטים,failure to respond !במועד! סמוכין 395054 תאריך 08.11.23 ,termination of treatment,unjustified,19/03/2024,5
 371/24,29/08/2024,29/10/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,תיקון שירטוט קו 50 במושב רום אל און ,undergoing treatment,,,30
 419/23,16/05/2023,22/09/2023,online form,citizen,,failure to respond,משרד הבריאות,מסמכי חידוש רישיון,termination of treatment,justified,08/02/2024,140
 94/22,28/11/2021,13/03/2022,online form,citizen,,failure to respond,שירות בתי הסוהר,אי קבלת מענה חופש המידע,termination of treatment,justified,24/03/2022,11
 309/22,26/04/2022,25/07/2022,online form,citizen,,failure to respond,משרד הבריאות,פנייתי 65539,termination of treatment,unjustified,27/07/2022,2
 107/22,11/05/2021,18/03/2022,online form,citizen,,failure to respond,משרד הבריאות,"רשימת משווקי בשר, עופות ודגים ומספרי הזיהוי הווטרינרי שלהם",termination of treatment,justified,26/05/2022,69
 267/24,16/05/2024,17/07/2024,online form,citizen,,lack of reasoning,משרד התחבורה והבטיחות בדרכים,פרוטוקול רכבת,termination of treatment,unjustified,08/10/2024,84
 21/22,08/09/2021,19/01/2022,online form,citizen,,failure to respond,משרד הבריאות,השמדת קנאביס רפואי,termination of treatment,justified,13/02/2022,25
 158/22,09/02/2022,07/04/2022,online form,citizen,,failure to respond,משרד החינוך,בקשה לקבלת מידע עבור בית ספר בחיפה,termination of treatment,justified,28/04/2022,21
 129/24,06/03/2023,29/04/2024,online form,citizen,,failure to respond,משרד המשפטים,הנחיית משרד המשפטים,termination of treatment,justified,03/07/2024,65
7/24,06/12/2023,05/01/2024,online form,citizen,,failure to respond,משרד ראש הממשלה,פירוט הטיפול בטופס פניות הציבור,termination of treatment,unjustified,29/01/2024,24
 249/23,25/10/2022,26/06/2023,online form,non-profit organization,אנימלס,failure to respond,משרד הבריאות,יבוא ושיווק דגים ומוצרי דגים,termination of treatment,justified,20/12/2023,177
 240/24,28/05/2024,08/07/2024,online form,citizen,,failure to respond,הרשות הארצית לכבאות והצלה,"בקשה לדוח כיבוי דליקה בין 15-14 יולי 2023 בבניין ברחוב יוסף הגידם 13 חיפה""",termination of treatment,justified,06/08/2024,29
 186/23,22/03/2023,11/05/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""",ישיבות הסדר,termination of treatment,justified,31/08/2023,112
 367/24,15/09/2024,27/10/2024,online form,citizen,,failure to respond,"מתאם פעולות הממשלה בשטחים (מתפש)""",הכנסת והוצאת כספים אל ומרצועת עזה,termination of treatment,justified,31/10/2024,4
 378/24,02/10/2024,03/11/2024,online form,citizen,,lack of reasoning,משרד החינוך,מסירת מידע לא מדויק/שקרי,termination of treatment,unjustified,13/11/2024,10
 243/23,13/06/2023,25/06/2023,online form,citizen,,failure to respond,משטרת ישראל,נוהל יממ,termination of treatment,unjustified,10/07/2023,15
 221/22,18/05/2022,22/05/2022,online form,citizen,,lack of reasoning,הנהלת בתי הדין הרבניים,פסילת הרכב דיינים בנתניה 2020 - 2022,termination of treatment,justified,31/07/2022,71
 280/23,18/05/2023,19/07/2023,online form,citizen,,failure to respond,משרד התיירות,מועדון הזמר האילתי,termination of treatment,justified,07/03/2024,232
12/22,29/07/2021,11/01/2022,online form,other,,failure to respond,משרד הבריאות,"שירותים והתקשרויות בין משרד הבריאות למדא לשנים 2019-2020""",termination of treatment,justified,16/03/2022,64
 85/22,10/01/2022,02/03/2022,online form,other,,failure to respond,רשות האוכלוסין וההגירה,בקשה לקבלת מידע לפי חוק חופש המידע,termination of treatment,unjustified,07/03/2022,5
 495/22,01/10/2022,23/12/2022,online form,citizen,,failure to respond,משטרת ישראל,בקשת מידע,termination of treatment,unjustified,28/12/2022,5
 32/24,09/10/2023,30/01/2024,online form,non-profit organization,האגודה לזכויות האזרח,failure to respond,המשרד לביטחון לאומי,טיפול בבקשות לרישיונות לשאת כלי ירייה פרטי,termination of treatment,justified,04/04/2024,65
 29/22,14/11/2021,25/01/2022,online form,citizen,,failure to respond,האפוטרופוס הכללי והכונס הרשמי,קרן תובענות יצוגיות ,termination of treatment,justified,13/02/2022,19
 592/21,04/10/2021,24/11/2021,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,מסמכים הנוגעים לחברת גלים,termination of treatment,justified,30/05/2022,187
 464/23,26/07/2023,07/11/2023,online form,non-profit organization,החברה להגנת הטבע,failure to respond,משרד החקלאות ופיתוח הכפר,דיג במפרץ אילת,termination of treatment,justified,28/02/2024,113
 24/24,11/10/2023,24/01/2024,online form,citizen,,failure to respond,משרד המשפטים,failure to respond סמוכין 392394 מתאריך 11.10.23 ,termination of treatment,unjustified,07/02/2024,14
 263/24,20/06/2022,15/07/2024,online form,other,,failure to respond,משרד הבריאות,זמני המתנה לרופאים בקהילה,termination of treatment,justified,21/08/2024,37
 105/24,18/02/2024,03/04/2024,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,תוכנית 2023 של פקידי יערות,termination of treatment,justified,24/06/2024,82
 91/24,30/01/2024,14/03/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,failure to respond והודעת ארכה לא לפי חוק,termination of treatment,unjustified,18/03/2024,5
 198/23,16/04/2023,24/05/2023,online form,citizen,,lack of reasoning,משטרת ישראל,סירוב גורף לבקשת מידע  מיום 16.4.23,termination of treatment,unjustified,01/08/2024,435
 103/24,08/11/2023,02/04/2024,online form,citizen,,failure to respond,משרד המשפטים,failure to respond !במועד! סמוכין 395054 תאריך 08.11.23 ,termination of treatment,unjustified,03/04/2024,1
 312/24,25/08/2024,04/09/2024,online form,citizen,,lack of reasoning,בית חולים איכילוב,תחלופת עובדים בלשכות הנהלה,termination of treatment,unjustified,09/09/2024,5
 211/24,11/01/2024,19/06/2024,online form,non-profit organization,מוסרי,failure to respond,המשרד לשוויון חברתי,הסכמי התקשוריות ומכרזים,termination of treatment,justified,27/06/2024,8
 459/22,16/08/2022,29/11/2022,online form,citizen,,failure to respond,משרד הבריאות,בידוד נגיף הקורונה,termination of treatment,justified,02/03/2023,93
 306/22,14/06/2022,21/07/2022,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,תחומי otherיות כפר יונה,termination of treatment,justified partially,25/07/2022,5
