"מספר התלונה","תאריך הגשת הבקשה למידע","תאריך קבלת תלונה","ערוץ קבלת תלונה","סוג המתלונן","שם המתלונן"," נושא התלונה","שם הנילון","נושא בקשת חופש מידע","סטטוס","החלטה","תאריך סיום טיפול","מספר ימי טיפול",
" 219/22","16/02/2022","19/05/2022","טופס מקוון","אזרח","","אי מתן מענה","רשות המים והביוב","מידע על כמויות מים והיכן נצרכו","סיום טיפול","בלתי מוצדק","16/06/2022","29",
" 117/24","06/12/2023","11/04/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מסמכים  שונים","סיום טיפול","מוצדק","05/06/2024","55",
" 347/22","01/11/2021","21/08/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד התקשורת","בקשה הנוגעת לחווד אודות פטריק דרהי","סיום טיפול","מוצדק","14/09/2022","24",
" 223/22","27/02/2022","23/05/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד התיירות","אי כיבוד הבקשה, גרירת רגליים ופעולה ללא סמכות","סיום טיפול","בלתי מוצדק","25/05/2022","3",
" 245/22","25/02/2022","06/06/2022","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","מכות חום, חשיפה לקרינה וכמות בשר","סיום טיפול","מוצדק","11/08/2022","66",
" 239/22","28/03/2022","02/06/2022","טופס מקוון","עמותה","לביא","אי מתן מענה","צה"ל","צווי הרחקה מנהליים","סיום טיפול","מוצדק","01/08/2022","60",
" 485/22","08/11/2022","20/12/2022","טופס מקוון","אזרח","","אי מתן מענה","רשות האוכלוסין וההגירה","אי התייחסות לבקשה.","סיום טיפול","בלתי מוצדק","28/12/2022","8",
" 54/22","11/01/2022","12/02/2022","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי הדין הרבניים","חופש המידע בתי דין רבניים מקומות מושב דיינים","סיום טיפול","מוצדק","28/04/2022","75",
" 175/22","13/03/2022","25/04/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","מסמך הנחיות של יועץ הבטיחות מטעם משרד החינוך","סיום טיפול","מוצדק","28/04/2022","3",
" 222/24","14/03/2024","25/06/2024","טופס מקוון","עמותה","המרכז להעצמת האזרח","אי מתן מענה","משרד הביטחון","מוניטור 1226 ו-3741","סיום טיפול","מוצדק","30/07/2024","35",
" 318/24","09/05/2024","09/09/2024","טופס מקוון","עמותה","העמותה הקהילתית גבעת מרדכי","אי מתן מענה","משרד הבריאות","אכיפה וקנסות - אי דיווח תרומות","סיום טיפול","מוצדק","28/10/2024","49",
" 481/22","04/07/2022","15/12/2022","טופס מקוון","עמותה","האגודה לזכויות האזרח","אי מתן מענה","משרד המשפטים","פילוח נתוני מח"ש","סיום טיפול","מוצדק","22/12/2022","7",
" 52/22","06/02/2021","10/02/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הפנים","כתבי מינוי נוספים של עו"ד בנימין זלמנוביץ","סיום טיפול","בלתי מוצדק","29/03/2022","47",
" 206/23","14/04/2023","28/05/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד האוצר","אי מתן מענה בקשת 14.04.23 סמוכין 366866 ","סיום טיפול","בלתי מוצדק","12/07/2023","45",
" 107/23","05/01/2023","10/03/2023","טופס מקוון","עמותה","מגן ביטחון","אי מתן מענה","צה"ל","נתונים אודות בקשות חופש מידע המוגשות לצה"ל","סיום טיפול","מוצדק","29/03/2023","19",
" 90/22","08/01/2022","07/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פירוט חלוקת תמיכות","סיום טיפול","מוצדק חלקית","12/04/2022","36",
" 1/24","10/09/2023","01/01/2024","טופס מקוון","חברה","","אי מתן מענה","משרד העבודה","דוחות הדרכות בטיחות","סיום טיפול","מוצדק","04/01/2024","3",
" 291/24","15/05/2024","14/08/2024","טופס מקוון","עמותה","תורת המדינה","אי מתן מענה","משרד המשפטים","חופש מידע מפרקליטות מחוז ת"א ומרכז ","סיום טיפול","מוצדק","22/08/2024","9",
" 324/24","26/07/2024","15/09/2024","טופס מקוון","אזרח","","חוסר בהנמקה","משרד הבינוי והשיכון","ביקשתי נוהל וקיבלתי תשובה מתחמקת אך לא הנוהל","סיום טיפול","בלתי מוצדק","16/09/2024","1",
" 461/22","01/08/2022","30/11/2022","טופס מקוון","עמותה","עמותת עמרם","אי מתן מענה","משרד הבריאות","מינויה של פרופ' שורץ לבחון חומר בנושא פרשת ילדי תימן","סיום טיפול","מוצדק","20/04/2023","141",
" 202/24","16/03/2024","11/06/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","נוהל קריטריונים הקמת ועדת בדיקה רשמית, רשלנות רפואית","סיום טיפול","מוצדק","30/07/2024","49",
" 26/24","25/01/2024","25/01/2024","טופס מקוון","עמותה","מרכז רקמן, אוניברסיטת בר אילן","אי מתן מענה","משרד המשפטים","מידע לשנתון סטטיסטי","סיום טיפול","בלתי מוצדק","08/02/2024","14",
" 352/22","31/05/2022","22/08/2022","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","מדיניות גיוס בני ישיבות ציונית","סיום טיפול","מוצדק","26/01/2023","157",
" 262/24","10/05/2023","15/07/2024","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","אנטיביוטיקה מסוג CEFTRIAXONE","סיום טיפול","מוצדק","21/08/2024","37",
" 421/23","24/05/2023","26/09/2023","טופס מקוון","עמותה","התנועה לחופש המידע","אי מתן מענה","משרד המשפטים","תלונות למח"ש","סיום טיפול","מוצדק חלקית","06/12/2023","71",
" 136/23","15/12/2022","02/04/2023","טופס מקוון","עמותה","החברה להגנת הטבע","אי מתן מענה","משרד החקלאות ופיתוח הכפר","רישיונות או היתרים לדיג חריג","סיום טיפול","מוצדק","10/07/2023","99",
" 362/24","30/06/2024","15/10/2024","טופס מקוון","אחר","","אי מתן מענה","הרשות הארצית לכבאות והצלה","דוח חקירת אירוע שריפה","סיום טיפול","מוצדק","28/10/2024","13",
" 388/23","18/05/2023","29/08/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","תקנות זכויות התלמיד","סיום טיפול","מוצדק","21/09/2023","23",
" 119/23","07/02/2023","16/03/2023","טופס מקוון","עמותה","אלו"ט","אי מתן מענה","משרד החינוך","נתונים לגבי מחסור בעובדי הוראה","סיום טיפול","מוצדק","07/06/2023","83",
" 305/23","06/03/2023","01/08/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","הועדה לשינוי מין","סיום טיפול","מוצדק","01/01/2024","153",
" 438/22","03/10/2022","20/11/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","בקשת חופש מידע","סיום טיפול","מוצדק","24/05/2023","185",
" 2/24","24/05/2023","01/01/2024","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","מכונות אקמו","סיום טיפול","מוצדק","29/02/2024","59",
" 228/23","28/03/2023","15/06/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התקשורת","רשימת בתי מלון","סיום טיפול","מוצדק","27/06/2023","12",
" 162/24","24/11/2023","13/05/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה ! במועד ! סמוכין 396840 תאריך 24.11.23","סיום טיפול","בלתי מוצדק","13/05/2024","0",
" 353/24","17/06/2024","09/10/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","יועצים חיצוניים ועובדי המדינה לרוה"מ שהושכרו ע"י המשרד בחודשים אוקטובר 2023 עד מאי 2024","סיום טיפול","מוצדק","07/11/2024","29",
" 185/23","06/02/2023","11/05/2023","טופס מקוון","אזרח","","חוסר בהנמקה","רשות האכיפה והגבייה","נתונים מהוצאה לפועל והמרכז לגביית קנסות","סיום טיפול","מוצדק","08/11/2023","181",
" 359/24","10/10/2024","14/10/2024","טופס מקוון","עמותה","פורום משפט וצדק (ע"ר)","אגרות","רשות המסים בישראל","לא ניתן להגיש בקשה ללא תשלום אגרה, גם לעמותה","סיום טיפול","בלתי מוצדק","31/10/2024","18",
" 137/24","10/07/2023","02/05/2024","טופס מקוון","אזרח","","אי מתן מענה","רשות מקרקעי ישראל","מידע דחוף","סיום טיפול","בלתי מוצדק","25/07/2024","84",
" 174/22","08/02/2022","25/04/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","דו"ח ביקורת כספית בישיבה תיכונית גבעת שמואל","סיום טיפול","בלתי מוצדק","13/06/2022","49",
" 310/22","17/05/2022","26/07/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","בקשת חוק חופש המידע","סיום טיפול","בלתי מוצדק","28/07/2022","2",
" 42/22","24/11/2021","03/02/2022","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","נתונים על משרתות מילואים","סיום טיפול","מוצדק","26/05/2022","112",
" 268/22","10/03/2022","16/06/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","אישור ו/או קבלת רישיון מוסד "מכורים לחיים"","סיום טיפול","מוצדק","12/07/2022","26",
" 46/24","03/12/2023","02/02/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","אי מתן מענה ! במועד ! סמוכין 397777 03.12.23 ","סיום טיפול","בלתי מוצדק","29/02/2024","27",
" 184/23","04/02/2023","11/05/2023","טופס מקוון","אזרח","","חוסר בהנמקה","משרד המשפטים","פרוטוקולים לשכת היועמש","סיום טיפול","בלתי מוצדק","11/05/2023","0",
" 9/23","23/08/2022","08/01/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","אי מענה לקבלת תקנות ","סיום טיפול","מוצדק","05/03/2023","56",
" 392/23","27/06/2023","01/09/2023","טופס מקוון","אזרח","","חוסר בהנמקה","מרכז רפואי שיבא","נורות פוטותרפיה","סיום טיפול","מוצדק","10/01/2024","131",
" 239/24","28/05/2024","08/07/2024","טופס מקוון","אזרח","","אי מתן מענה","הרשות הארצית לכבאות והצלה","בקשה לדו"ח כיבוי חוקר דליקות על שריפה בין 15-14 יולי 2023 בבניין ברחוב יוסף הגידם 13 חיפה","סיום טיפול","מוצדק","06/08/2024","29",
" 6/24","03/12/2023","05/01/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","אי מתן מענה לבקשת מידע סמוכין 397772 03.12.23 ","סיום טיפול","בלתי מוצדק","29/01/2024","25",
" 39/22","05/09/2021","31/01/2022","טופס מקוון","עמותה","כושרות","אי מתן מענה","משרד הבריאות","מערך הפיקוח על המזון ","סיום טיפול","מוצדק","28/03/2022","56",
" 420/23","16/07/2023","26/09/2023","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","משרד החקלאות ופיתוח הכפר","ביקורות בחזיריות","סיום טיפול","מוצדק","06/11/2023","41",
" 429/22","13/04/2022","13/11/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד העבודה","שיתוף פעולה בין מנהל הבטיחות בזרוע ויחידת פלס","סיום טיפול","מוצדק","03/05/2023","171",
" 269/24","18/05/2024","17/07/2024","טופס מקוון","אזרח","","חוסר בהנמקה","משרד התחבורה והבטיחות בדרכים","פרוטוקולים שונים","סיום טיפול","בלתי מוצדק","08/10/2024","84",
" 53/24","22/09/2023","11/02/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מספר בוגרים ישראלים מחו"ל","סיום טיפול","מוצדק","04/04/2024","53",
" 354/22","28/10/2021","22/08/2022","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","השלמת נתונים - יוצאי אתיופיה","סיום טיפול","בלתי מוצדק","08/09/2022","17",
" 311/22","31/01/2022","27/07/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות בגדה המערבית","סיום טיפול","מוצדק","18/08/2022","22",
" 636/21","19/08/2021","27/12/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","שאלות לגבי בידוד נגיף הקורונה","סיום טיפול","מוצדק","28/03/2022","91",
" 26/23","22/11/2022","22/01/2023","טופס מקוון","אזרח","","חוסר בהנמקה","משרד הבינוי והשיכון","בקשה לקבלת אסמכתאות להעברת כספים","סיום טיפול","מוצדק","25/04/2023","94",
" 28/24","20/07/2023","27/01/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","הפעלת סמכותו של מנהל המחוז","סיום טיפול","מוצדק","11/04/2024","75",
" 108/23","21/11/2022","12/03/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","הליכי גיוס לבעלי קושי נפשי","סיום טיפול","מוצדק","20/06/2023","100",
" 340/22","26/01/2022","15/08/2022","טופס מקוון","אזרח","","חוסר בהנמקה","משרד התחבורה והבטיחות בדרכים","העתק ממסמכי מכרז","סיום טיפול","מוצדק","26/01/2023","164",
" 395/22","11/05/2022","22/09/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","קבלת מידע בנושא תאי לחץ גבוה ומתון","סיום טיפול","מוצדק","18/01/2023","119",
" 5/24","24/08/2023","04/01/2024","טופס מקוון","עמותה","איחוד הישיבות באר"י","חוסר בהנמקה","רשות האוכלוסין וההגירה","העתק ממרשם האוכלוסין","סיום טיפול","מוצדק","25/01/2024","21",
" 63/24","14/11/2022","20/02/2024","טופס מקוון","עמותה","מדעת - למען בריאות מושכלת","אי מתן מענה","משרד הבריאות","כיסוי חיסוני בישראל ומדיניות הסברה","סיום טיפול","מוצדק","18/04/2024","58",
" 242/24","01/05/2024","09/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התיירות","נהלי משרד התיירות","סיום טיפול","בלתי מוצדק","19/08/2024","41",
" 261/24","10/04/2024","15/07/2024","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","משלוח מזון מבית עסק לבית הצרכן","סיום טיפול","מוצדק","21/08/2024","37",
" 303/24","14/04/2024","27/08/2024","טופס מקוון","עמותה","העמותה הקהילתית גבעת מרדכי","אי מתן מענה","משרד הבריאות","התפרצויות חצבת בעולם","סיום טיפול","מוצדק","06/10/2024","40",
" 129/23","28/02/2023","28/03/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","אי מתן מענה לבקשתי לרשומות מהפסיכיאטר המחוזי מרכז","סיום טיפול","מוצדק","07/06/2023","71",
" 426/23","29/07/2023","03/10/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","החלטת ממשלה 682","סיום טיפול","מוצדק","15/04/2024","195",
" 328/24","01/01/1900","17/09/2024","טופס מקוון","אזרח","","דין וחשבון שנתי","משרד הבריאות","","סיום טיפול","מוצדק","13/11/2024","57",
" 288/22","24/04/2022","04/07/2022","טופס מקוון","אזרח","","חוסר בהנמקה","משרד הבינוי והשיכון","הטלת קנסות על החברות המשכנות ותלונות הציבור","סיום טיפול","בלתי מוצדק","10/08/2022","37",
" 249/22","24/02/2022","08/06/2022","טופס מקוון","עמותה","לביא","אי מתן מענה","שירות בתי הסוהר","נתוני אסירים בטחוניים 2021","סיום טיפול","מוצדק","23/08/2022","76",
" 274/23","22/11/2022","14/07/2023","טופס מקוון","עמותה","אזרחים למען אוויר נקי","אי מתן מענה","המשרד להגנת הסביבה","תשלום למודיע על השלכת פסלת שלא כדין","סיום טיפול","מוצדק","01/08/2023","18",
" 304/24","15/07/2024","28/08/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","פרוטוקול תחבורה ציבורית ","סיום טיפול","בלתי מוצדק","02/09/2024","5",
" 269/22","24/04/2022","16/06/2022","טופס מקוון","אזרח","","חוסר בהנמקה","משרד הרווחה והשירותים החברתיים","מידע אודות הוסטל נחלים ברכסים","סיום טיפול","בלתי מוצדק","09/04/2024","663",
" 227/23","09/04/2023","15/06/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","בני מהגרים בלימודים","סיום טיפול","מוצדק","08/01/2024","207",
" 197/22","06/01/2022","09/05/2022","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","תנאי הזכאות לקבלת גמול השתלמות (גמו"ש) לקצינים בשירות קבע","סיום טיפול","מוצדק","02/08/2022","85",
" 257/22","09/02/2022","14/06/2022","טופס מקוון","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","בקשה לקבלת סקרי קרקע בתחנת דלק","סיום טיפול","מוצדק","11/09/2022","89",
" 320/23","03/04/2023","10/08/2023","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","קבלת מידע מה עלה ","סיום טיפול","בלתי מוצדק","24/08/2023","14",
" 101/24","26/02/2024","28/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","כתבי אישום בחתך דת","סיום טיפול","בלתי מוצדק","03/04/2024","6",
" 271/22","01/12/2021","19/06/2022","טופס מקוון","חברה","","אי מתן מענה","משרד הבריאות","החלטות ונהלים בנושא שינוי בשב"ן","סיום טיפול","מוצדק","11/09/2022","84",
" 418/23","20/08/2023","21/09/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","תנאי עבודה","סיום טיפול","בלתי מוצדק","14/12/2023","84",
" 428/22","10/09/2022","13/11/2022","טופס מקוון","אזרח","","חוסר בהנמקה","משרד הפנים","חיוב אגרת שמירה בניגוד לתקנון וגם ביח' משנה","סיום טיפול","בלתי מוצדק","22/12/2022","39",
" 102/22","13/12/2021","13/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","כתובת המוסד בית התלמוד שערי תורה","סיום טיפול","בלתי מוצדק","11/04/2022","29",
" 232/22","28/03/2022","30/05/2022","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי הדין הרבניים","נהלי פטורים טוענים רבניים","סיום טיפול","מוצדק","18/07/2022","49",
" 209/23","03/01/2023","30/05/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","משרד המשפטים","נהלים ומדיניות- פמ"י","סיום טיפול","מוצדק","12/07/2023","43",
" 314/24","25/07/2024","05/09/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","בקשת מידע אישי","סיום טיפול","בלתי מוצדק","23/09/2024","19",
" 260/24","16/02/2024","15/07/2024","טופס מקוון","עמותה","מוסרי ארגון זכויות אדם יהודי","אי מתן מענה","צה"ל","פילוח הפיקוד הבכיר בצה"ל לפי חינוך","סיום טיפול","מוצדק","11/08/2024","27",
" 183/22","26/04/2022","26/04/2022","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי הדין הרבניים","עובד ודיינים שהושהו בסוף 2016","סיום טיפול","בלתי מוצדק","26/05/2022","30",
" 238/22","19/01/2022","02/06/2022","טופס מקוון","עמותה","לביא","אי מתן מענה","צה"ל","ענישה במקרי עבירות בטחון בבימ"ש הצבאיים באיו"ש","סיום טיפול","מוצדק","04/08/2022","63",
" 357/24","04/08/2024","14/10/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אישור היועמ"ש למתן אישורים בדיעבד","סיום טיפול","בלתי מוצדק","12/11/2024","30",
" 307/24","22/08/2024","31/08/2024","טופס מקוון","אזרח","","פרסום הנחיות מנהליות","משרד הפנים","","סיום טיפול","בלתי מוצדק","15/10/2024","45",
" 414/22","10/05/2022","23/10/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","לידות שקטות והפלות","סיום טיפול","מוצדק","04/05/2023","193",
" 59/24","14/02/2024","14/02/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","תחבורה ציבורית","סיום טיפול","מוצדק","06/05/2024","82",
" 11/23","22/11/2022","10/01/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הכלכלה","אי קבלת מענה רשמי ","סיום טיפול","בלתי מוצדק","11/01/2023","1",
" 66/24","18/04/2023","25/02/2024","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","מכשיר INVOS","סיום טיפול","מוצדק","02/05/2024","67",
" 273/22","17/05/2022","20/06/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","שומת מקרקעין בגוש 7079 חלקה 12","סיום טיפול","בלתי מוצדק","27/06/2022","7",
" 121/24","06/08/2023","15/04/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה !במועד! סמוכין 383730 תאריך 06.08.23 ","סיום טיפול","בלתי מוצדק","17/04/2024","2",
" 289/24","29/07/2023","09/08/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","חקירות אישי ציבור","סיום טיפול","מוצדק","18/09/2024","40",
" 40/22","26/12/2021","01/02/2022","טופס מקוון","חברה","","אי מתן מענה","משרד העבודה","צווי בטיחות חברת ארקאן","סיום טיפול","מוצדק","26/05/2022","114",
" 238/24","25/03/2024","08/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התקשורת","מדידות כיסוי סלולרי בכביש 31","סיום טיפול","מוצדק","22/07/2024","14",
" 265/22","25/11/2021","16/06/2022","טופס מקוון","עמותה","אלו"ט","אי מתן מענה","משרד החינוך","מיפוי מספר מסגרות ייעודיות ותלמידים עם אוטיזם","סיום טיפול","מוצדק","26/01/2023","225",
" 249/24","22/02/2024","14/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","דיווח תרומות למשרד הבריאות","סיום טיפול","מוצדק","21/08/2024","38",
" 332/24","18/09/2024","18/09/2024","טופס מקוון","אזרח","","אגרות","משרד הפנים","בקשת החזר אגרה","סיום טיפול","בלתי מוצדק","24/09/2024","6",
" 301/24","10/04/2024","20/08/2024","טופס מקוון","אחר","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","חיות משק במלחמת 'חרבות ברזל'","סיום טיפול","מוצדק","15/10/2024","56",
" 38/23","06/01/2023","07/02/2023","טופס מקוון","עמותה","מגן ביטחון","אי מתן מענה","משרד האוצר","פעילות משרד האוצר בתקשורת ביחס לשכר, תנאים","סיום טיפול","בלתי מוצדק","08/06/2023","121",
" 632/21","02/09/2021","24/12/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","שכר רבנים שכר ממונה חשיפה","סיום טיפול","בלתי מוצדק","14/02/2022","52",
" 173/22","24/03/2022","23/04/2022","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","פנייה 99072","סיום טיפול","בלתי מוצדק","04/05/2022","11",
" 12/23","06/12/2022","10/01/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הכלכלה","מתן חסות עובד ציבור על ידי מנכ"ל משרד הכלכלה ","סיום טיפול","בלתי מוצדק","20/02/2023","41",
" 75/24","14/09/2023","05/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","ארגונים מאושרים על ידי שר המשפטים","סיום טיפול","מוצדק","13/03/2024","8",
" 631/21","25/10/2021","23/12/2021","טופס מקוון","אזרח","","אי מתן מענה","רשות מקרקעי ישראל","מסמכי הפרויקט הידוע כ"מנהטן 15 " בנתיבות","סיום טיפול","מוצדק חלקית","07/02/2022","46",
" 71/24","31/01/2024","04/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","מידע-מס' בקשות שלא נענו בצורה תקינה","סיום טיפול","בלתי מוצדק","13/03/2024","9",
" 49/23","15/11/2022","09/02/2023","טופס מקוון","עמותה","האגודה לזכויות האזרח","אי מתן מענה","שירות בתי הסוהר","אסירי עולם","סיום טיפול","מוצדק","29/03/2023","48",
" 23/22","20/10/2021","19/01/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","רשיונות "ללא מגע"","סיום טיפול","מוצדק","26/05/2022","127",
" 49/22","02/01/2022","08/02/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מידע בנושאים שונים בנושא קורונה","סיום טיפול","מוצדק","26/05/2022","107",
" 388/24","05/07/2023","09/11/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","תרופות מתחדשות","בטיפול","","","16",
" 82/22","14/09/2021","01/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","מתן מידע לפי חוק חופש המידע","סיום טיפול","מוצדק","16/03/2022","15",
" 621/21","01/12/2021","19/12/2021","טופס מקוון","אזרח","","אגרות","משטרת ישראל","סימוכין - 100-80-7-1","סיום טיפול","בלתי מוצדק","16/03/2022","87",
" 67/22","19/12/2021","20/02/2022","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","העברת מסמכים ","סיום טיפול","מוצדק","26/05/2022","95",
" 1/23","01/09/2022","01/01/2023","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","מתן מענה לא ענייני וחלקי ביותר","סיום טיפול","מוצדק","10/08/2023","221",
" 20/23","13/11/2022","15/01/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","ערעור טובין בייבוא אישי","סיום טיפול","מוצדק","31/05/2023","136",
" 111/24","14/11/2023","09/04/2024","טופס מקוון","עמותה","המרכז להעצמת האזרח","אי מתן מענה","משרד הבריאות","יישום חוק חובת דיווח","סיום טיפול","מוצדק","06/06/2024","58",
" 73/23","22/02/2023","28/02/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","אי קבלת מענה","סיום טיפול","בלתי מוצדק","01/03/2023","1",
" 387/22","31/07/2022","20/09/2022","טופס מקוון","חברה","","אי מתן מענה","משרד העבודה","פיגומים ממוכנים","סיום טיפול","מוצדק","04/05/2023","226",
" 258/24","28/05/2024","15/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","תיעוד מגן אסיף","סיום טיפול","מוצדק","23/07/2024","8",
" 112/24","14/11/2023","09/04/2024","טופס מקוון","עמותה","המרכז להעצמת האזרח","אי מתן מענה","משרד החינוך","יישום חוק חובת דיווח","סיום טיפול","מוצדק","02/05/2024","23",
" 53/23","09/01/2023","14/02/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","אי מתן מענה ממשרד התחבורה","סיום טיפול","מוצדק","05/03/2023","20",
" 479/23","02/10/2023","18/11/2023","טופס מקוון","אחר","","אי מתן מענה","הרשות הארצית לכבאות והצלה","אי קבלת מענה ומענה משתלח מצד הגורם ברשות","סיום טיפול","בלתי מוצדק","23/11/2023","5",
" 50/22","09/08/2021","10/02/2022","טופס מקוון","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","מיחזור צמיגים","סיום טיפול","מוצדק","26/05/2022","105",
" 15/24","19/10/2023","11/01/2024","טופס מקוון","עמותה","מרכז רקמן, אוניברסיטת בר אילן","אי מתן מענה","שירות בתי הסוהר","מידע סטטיסטי לשנתון","סיום טיפול","מוצדק","13/03/2024","62",
" 327/22","04/07/2022","05/08/2022","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי המשפט","עדכון מניעויות רשמים","סיום טיפול","מוצדק חלקית","07/08/2022","2",
" 69/24","01/01/2024","26/02/2024","טופס מקוון","עמותה","האגודה לזכויות האזרח","אי מתן מענה","שירות בתי הסוהר","לוחות המזון לעצורים ולאסירים ביטחוניים","סיום טיפול","מוצדק","18/04/2024","52",
" 355/22","14/06/2022","22/08/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","תחומי אחריות כפר יונה","סיום טיפול","מוצדק","18/12/2022","118",
" 196/22","08/01/2022","08/05/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פירוט חלוקת תמיכות","סיום טיפול","מוצדק","01/08/2022","86",
" 398/24","17/09/2024","17/11/2024","טופס מקוון","אזרח","","אי מתן מענה","מתאם פעולות הממשלה בשטחים (מתפ"ש)","מעברים לרצועת עזה","סיום טיפול","בלתי מוצדק","21/11/2024","4",
